time,randomseed,weather,labeling methodology,feature selection methodology,number of trees,aggregate n runs,training CDDR,testing CDDR,testing TPR,testing FPR
,5703,Norfolk,Simple,Embedded,400,144,0.984589041,0.522036927,1,0
,2425,Norfolk,Simple,Embedded,400,144,0.985631328,0.522930316,1,0
,9337,Norfolk,Simple,Embedded,400,144,0.981089934,0.533502085,1,0
,394,Norfolk,Simple,Embedded,400,144,0.981797201,0.527695057,1,0
,3073,Norfolk,Simple,Embedded,400,144,0.982020548,0.53469327,1,0
,5797,Norfolk,Simple,Embedded,400,144,0.981797201,0.524270399,1,0
,3703,Norfolk,Simple,Embedded,400,144,0.982392793,0.526950566,1,0
,9904,Norfolk,Simple,Embedded,400,144,0.981387731,0.535288862,1,0
,3207,Norfolk,Simple,Embedded,400,144,0.983546754,0.519207862,1,0
,9374,Norfolk,Simple,Embedded,400,144,0.980717689,0.535437761,1,0
,5001,Norfolk,Simple,Embedded,200,24,0.982169446,0.497468731,1,0
,8760,Norfolk,Simple,Embedded,200,24,0.985184634,0.497319833,1,0
,3073,Norfolk,Simple,Embedded,200,24,0.982057772,0.534544372,1,0
,6031,Norfolk,Simple,Embedded,500,24,0.982504467,0.524865992,1,0
,1,Norfolk,Simple,Embedded,500,24,0.95890411,0.746575342,0.942922374,0
,1,Norfolk,Simple,Embedded,500,24,na,0.746575342,0.942922374,0
,1,Norfolk,Simple,Embedded,500,24,na,0.746575342,0.942922374,0
,1,Norfolk,Simple,Embedded,500,24,na,0.746575342,0.942922374,0
,3347,Norfolk,Simple,Embedded,300,24,0.982430018,0.5080405,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,0.887671233,0
,1,Norfolk,Simple,Embedded,300,24,na,0,0.887671233,0
,1,Norfolk,Simple,Embedded,300,24,na,0,0.887671233,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
,1,Norfolk,Simple,Embedded,300,24,na,0,1,0
